day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,EVS,RD,SM,WWLOW,RFTRA,NNI,KNI,PNI,NPKI,RFNPK,NAVAIL,PAVAIL,KAVAIL,Ndemand,RNuptake,Pdemand,RPuptake,Kdemand,RKuptake,NamountSO,PamountSO,KamountSO
2007-01-02,,,,,,,,,0.0,,0.5,26.919999999999998,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-03,,,,,,,,,0.0,,0.445,26.919999999999998,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-04,,,,,,,,,0.0,,0.39,26.92,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-05,,,,,,,,,0.0032190191461307525,,0.3350000000000001,26.92,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-06,,,,,,,,,0.0,,0.28221809808538695,26.94218098085387,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-07,,,,,,,,,0.0,,0.276,26.942180980853873,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-08,,,,,,,,,0.0,,0.276,26.942180980853873,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-09,,,,,,,,,0.0,,0.276,26.942180980853873,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-10,,,,,,,,,0.0,,0.276,26.942180980853873,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-11,,,,,,,,,0.0007578112370112329,,0.276,26.942180980853873,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-12,,,,,,,,,0.0,,0.2759242188762989,26.94142316961686,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-13,,,,,,,,,0.0007287516285491504,,0.2759242188762989,26.94142316961686,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-14,,,,,,,,,0.0015390694240018932,,0.275851343713444,26.94069441798831,,,,,,,100.0,100.0,100.0,,,,,,,,,
2007-01-15,,,,,,,,,0.0,,0.2756974367710438,26.93915534856431,,,,,,,100.0,100.0,100.0,,,,,,,,,
