date,Rn,theta_6,theta_mean,sw_out,theta_14,TA_PI_F_1_2_1,H_1_1_1,theta_8,theta_3,theta_15,wd,WS_2_1_1,theta_24,WS_1_1_1,theta_16,theta_4,theta_23,theta_9,theta_22,TA_PI_F_1_1_1,P_PI_F_1_1_1,theta_21,theta_5,theta_17,theta_2,ws,LE_PI_F_1_1_1,theta_1,TA_PI_F_1_4_1,WS_1_3_1,theta_13,H,theta_11,G,TA_PI_F_1_3_1,RH_PI_F_1_3_1,WS_1_2_1,theta_12,LE_1_1_1,t_avg,theta_25,LE,P_PI_F_2_2_1,RH_PI_F_1_1_1,rh,sw_in,RH_PI_F_1_2_1,RH_PI_F_1_4_1,lw_out,theta_20,theta_19,theta_7,theta_18,theta_10,lw_in,H_PI_F_1_1_1,t_min,t_max,G_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,ebc_cf,H_corr,ebr_corr,LE_corr,flux_corr,ebr,ebr_5day_clim,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2003-01-01,17.883333333333336,38.31666666666667,34.07578125000001,,38.31249999999999,-0.5504166666666666,,43.97083333333333,33.20416666666668,,52.83333333333334,3.818749999999999,,,29.68333333333334,34.399999999999984,,31.170833333333345,,-0.4075,0.0,,,35.23750000000001,31.51666666666668,3.903611111111112,4.675,21.341666666666665,-0.5341666666666668,3.75875,32.27916666666665,10.229166666666666,31.308333333333334,0.2583333333333332,-0.82375,59.22916666666666,4.133333333333334,38.38333333333332,,-0.5789583333333335,,4.477083333333334,0.0,57.54999999999999,60.63125,55.15833333333333,64.65,61.09583333333333,308.0250000000001,,42.97916666666666,36.100000000000016,27.004166666666663,,280.09583333333336,10.229166666666666,-3.77,3.37,0.0,0.0,0.0,0.0,0.0,114.83472317594946,14.70625,17.625000000000004,0.9889530821038436,10.1161659023539,1.0111703154538492,4.427625361335752,14.543791263689652,0.8343971631205672,0.8722445994729039,0.1545816470045833,0.1528739962418711,1.9,1.2,0.0,0.1273949968682259,0.2721194097415084,0.3265432916898101,False,
2003-01-02,28.329166666666666,38.85,34.29812499999999,,38.299999999999976,-2.50375,17.675,43.96666666666666,33.20000000000001,,202.9583333333333,2.922083333333332,,,29.54583333333333,34.399999999999984,,31.154166666666683,,-2.3291666666666666,0.0,,,35.23333333333334,31.816666666666663,2.983055555555556,14.020833333333336,22.85416666666667,-2.899166666666668,2.8708333333333336,32.22916666666667,17.093749999999996,32.76666666666666,-1.8000000000000005,-3.0270833333333336,79.4,3.15625,38.39583333333332,,-2.689791666666667,,14.008333333333336,0.0,76.2375,80.50833333333333,85.26666666666667,85.04166666666667,81.35416666666667,297.425,,42.95,36.100000000000016,27.004166666666663,,258.7916666666667,16.5125,-6.2875,2.91,0.0,0.0,0.0,0.0,0.0,115.322149709623,31.10208333333333,30.129166666666663,1.0271865006402563,17.558469245319376,0.973533043295146,14.389170896468926,31.947640141788305,1.0322915226109806,0.8740705788013258,0.4827087208725732,0.4958318818216328,0.90000004,0.6,0.0,0.8263864697027213,0.2767026038736691,0.1660215623242014,False,
2003-01-03,29.050000000000008,38.66250000000001,34.26234375,,38.299999999999976,0.1600000000000001,33.2625,43.95416666666666,33.20000000000001,,178.29166666666663,2.824583333333333,,,29.39166666666665,34.399999999999984,,31.112500000000008,,0.6866666666666669,0.0,,,35.21250000000001,31.83749999999999,2.9434722222222223,5.245833333333334,23.016666666666666,-1.1962499999999994,2.8145833333333337,32.20416666666668,32.74791666666667,32.4875,-0.4875,-0.9274999999999998,73.86666666666667,3.19125,38.404166666666654,5.441666666666666,-0.3192708333333332,,5.34375,0.0,69.71250000000002,74.25416666666666,102.83333333333331,79.15416666666665,74.28333333333335,304.525,,42.92083333333332,36.06666666666667,27.01666666666667,,251.44583333333333,32.23333333333333,-8.23,9.7525,0.0,0.0,0.0,0.0,0.0,115.8489181319264,38.09166666666667,29.53750000000001,1.0271865006402563,33.63821792409206,0.973533043295146,5.48902786279637,39.12724578688843,1.2896036112286635,0.8759858887669505,0.1845505342245748,0.1895678174414308,1.4,0.90000004,0.0,0.2106308989068833,0.2630631316220056,0.2367568289823303,False,
2003-01-04,19.845833333333328,38.97500000000001,34.425,,38.299999999999976,4.230833333333334,-19.85000000000001,43.94583333333333,33.191666666666684,,287.25,4.2875000000000005,,,29.30833333333333,34.39583333333332,,31.10000000000001,,4.555833333333333,0.0291666666666666,,,35.21666666666667,32.158333333333324,4.352361111111111,9.033333333333331,24.066666666666663,3.140416666666667,4.1425,32.20000000000001,-10.814583333333331,33.56249999999999,2.4958333333333336,3.5354166666666664,78.4541666666667,4.627083333333334,38.42499999999999,,3.865625,,9.995833333333334,0.0208333333333333,74.72499999999998,80.24270833333334,49.625,84.5,83.29166666666669,322.6625,,42.879166666666656,36.058333333333344,27.0125,,302.0833333333333,-1.7791666666666677,-3.05,8.6925,0.0,0.0,0.6,0.0,0.0,116.41493660901187,-0.8187499999999996,17.349999999999994,1.0449135414327422,-11.300304569952846,0.9570169782935738,10.444781607904789,-0.8555229620480578,-0.0471902017291066,0.8742172453839797,0.3465826348714919,0.3621488884026616,1.5,1.0,0.7,0.3621488884026616,0.2663741556381348,0.2663741556381348,False,
2003-01-05,12.274999999999997,39.26666666666664,34.6059375,,38.299999999999976,-0.6270833333333332,2.5416666666666665,43.95416666666665,33.19583333333335,,202.7083333333333,4.139583333333333,,,29.299999999999997,34.39166666666665,,31.095833333333346,,-0.3095833333333334,0.0,,,35.22500000000001,32.40416666666665,4.230555555555555,3.1124999999999994,25.04583333333333,-1.5562500000000004,4.048750000000001,32.20000000000001,3.1687500000000006,34.89999999999999,0.475,-1.2808333333333333,87.29166666666669,4.503333333333333,38.5,,-0.9434375,,2.9583333333333326,0.0,86.02916666666668,88.84791666666666,30.2375,93.175,88.89583333333331,305.6666666666667,,42.87083333333333,36.04166666666667,27.004166666666663,,292.78333333333336,3.7958333333333343,-5.9675,3.925,0.0,0.0,0.0,0.0,0.0,117.0201039692614,6.127083333333332,11.799999999999995,1.0449135414327422,3.3110697844150025,0.9570169782935738,3.0912025600718613,6.402272344486864,0.5192443502824861,0.8820859482565958,0.102108180139097,0.1066942201183963,1.7,1.1,0.0,0.0969947455621784,0.2587063484314315,0.2845769832745746,False,
2003-01-06,-1.31666666666667,39.31666666666665,34.658281249999995,,38.299999999999976,-3.317916666666666,10.570833333333336,43.92499999999999,33.19583333333335,,267.875,3.1962500000000005,,,29.299999999999997,34.399999999999984,,31.10000000000001,,-3.0195833333333333,0.0,,,35.23333333333335,32.399999999999984,3.289166666666667,2.8458333333333345,25.283333333333346,-3.9325,3.145,32.20000000000001,10.570833333333336,35.495833333333344,-3.329166666666667,-3.89625,87.53333333333335,3.526250000000001,38.520833333333336,2.850000000000001,-3.5415625,,2.847916666666668,0.0,86.28333333333332,88.69791666666669,32.958333333333336,94.99166666666666,85.98333333333332,293.9583333333333,,42.84583333333331,36.016666666666666,27.0,,265.49583333333334,10.570833333333336,-8.005,-0.4675,0.0,0.0,0.0,0.0,0.0,117.6643093854944,13.418750000000005,2.0124999999999966,1.0449135414327422,11.045606894228614,0.9570169782935738,2.9758266898719987,14.021433584100611,6.667701863354049,0.8798463656123429,0.0980568114018418,0.102460890063501,1.6,1.0,0.0,0.102460890063501,0.1536992278545737,0.1536992278545737,False,
2003-01-07,21.87916666666666,39.13750000000002,34.60276041666666,,38.275,4.58875,,43.94166666666666,33.14583333333334,,228.375,2.983333333333334,,,29.28333333333333,34.36666666666665,,31.095833333333346,,5.454583333333335,0.0,,,35.19583333333335,32.33333333333332,3.138333333333333,7.854166666666668,24.983333333333324,2.17375,2.9804166666666667,32.15416666666668,10.066666666666665,35.39999999999999,1.8166666666666649,3.2050000000000005,68.1375,3.45125,38.5,,3.855520833333333,,7.268750000000002,0.0,63.02083333333334,68.8,106.05833333333332,72.26666666666667,71.775,321.0833333333333,,42.82499999999999,35.99166666666667,27.008333333333336,,258.3,15.845833333333337,-6.1025,18.8825,0.0,0.0,0.0,0.0,0.0,118.34743204539376,17.335416666666667,20.0625,1.0449135414327422,10.518796317089604,0.9570169782935738,7.595215304289247,18.11401162137885,0.8640706126687439,0.8771194587089465,0.2520248513234634,0.2633441799254605,3.1000001,1.9,0.0,0.1386021999607687,0.1391112959711392,0.2643114623451644,False,
2003-01-08,15.22083333333334,39.13750000000002,34.62020833333333,,38.27083333333333,6.427916666666665,7.341666666666666,43.91249999999999,33.11250000000002,,284.75,3.339166666666667,,,29.24166666666666,34.34166666666665,,31.095833333333346,,7.295833333333333,0.0,,,35.18333333333335,32.35416666666665,3.4129166666666664,5.820833333333336,24.941666666666663,3.1491666666666664,3.2145833333333336,32.12500000000001,9.633333333333333,35.908333333333346,2.958333333333333,4.67,53.87916666666667,3.684999999999999,38.520833333333336,5.391666666666668,5.385729166666668,,5.606250000000002,0.0,46.38750000000001,53.94166666666666,110.18333333333334,55.42083333333333,60.07916666666667,324.47083333333325,,42.78333333333333,35.979166666666664,27.012500000000006,,252.13333333333333,11.925000000000004,-3.395,20.855,0.0,0.0,0.0,0.0,0.0,119.06934081197836,15.239583333333332,12.262500000000005,1.098244812564529,10.579758361038293,0.9105437954811588,6.157034980439893,16.736793341478187,1.2427794767244302,0.8776621209164651,0.1946642517004525,0.2137890046217778,4.8,2.9,0.0,0.0737203464213027,0.1125288771795711,0.3263337438207561,False,
2003-01-09,18.779166666666672,39.19166666666669,34.63171875,,38.25000000000001,0.9987499999999996,13.429166666666667,43.87083333333332,33.100000000000016,,336.5,7.745416666666667,,,29.262499999999992,34.32083333333332,,31.083333333333343,,1.1891666666666667,0.0,,,35.183333333333344,32.374999999999986,7.801111111111113,5.7958333333333325,25.05,0.7425,7.442500000000003,32.100000000000016,12.781249999999998,36.020833333333336,-0.6083333333333331,0.5970833333333333,47.2375,8.215416666666668,38.56250000000001,,0.881875,,5.772916666666667,0.0,45.0,48.384375,112.83750000000002,51.56249999999999,49.7375,310.45833333333337,,42.75833333333333,35.979166666666664,26.99583333333333,,239.46666666666667,12.133333333333333,-2.8325,4.0775,0.0,0.0,0.0,0.0,0.0,119.8298938760073,18.554166666666667,19.387500000000006,1.098244812564529,14.036941510590385,0.9105437954811588,6.34007578253398,20.377017293124364,0.9570169782935738,0.8747464521738284,0.1995983947180653,0.2192079015953226,3.9,2.4,0.0,0.0913366256647177,0.1129828473061606,0.2711588335347856,False,
2003-01-10,8.204166666666678,39.11666666666668,34.61739583333333,,38.2625,-6.618333333333332,27.020833333333325,43.93333333333332,33.10416666666668,,327.6666666666667,5.840416666666665,,,29.2375,34.32083333333332,,31.10000000000001,,-6.321666666666665,0.0,,,35.18750000000001,32.39166666666666,5.903055555555557,4.612500000000002,24.99583333333333,-7.465,5.640416666666666,32.10416666666668,26.77708333333332,35.91666666666666,-8.020833333333334,-7.349583333333333,51.15833333333334,6.228333333333333,38.55416666666667,4.6000000000000005,-6.938645833333332,,4.606250000000001,0.0,47.30833333333333,51.60833333333335,115.42916666666666,54.47916666666666,53.48749999999999,277.4916666666666,,42.73333333333335,35.92916666666665,26.991666666666664,,194.525,26.53333333333332,-15.055,-1.7025,0.0,0.0,0.0,0.0,0.0,120.62893840224017,31.38333333333332,16.225000000000012,1.098244812564529,29.407792866441422,0.9105437954811588,5.058790167875362,34.46658303431679,1.9342578325629152,0.8724044349643306,0.1580928033259837,0.1736246011565459,2.6000001,1.6,0.0,0.1085153757228412,0.1206614352261867,0.1930582963618988,False,
