,ET,Formatted_Date,Date,LAID,AGB,SW1D,SW2D,SW3D,SW4D,SW5D,SW6D,SW7D,SW_Mean
0,1.583,15/05/2003,2003-05-15,0.0,0,0.302,0.356,0.359,0.36,0.36,0.4,0.4,0.3624285714285714
1,1.45,16/05/2003,2003-05-16,0.0,0,0.279,0.354,0.359,0.36,0.36,0.4,0.4,0.3588571428571428
2,1.331,17/05/2003,2003-05-17,0.0,0,0.259,0.352,0.358,0.359,0.36,0.4,0.4,0.35542857142857137
3,1.224,18/05/2003,2003-05-18,0.0,0,0.24,0.35,0.358,0.359,0.36,0.4,0.4,0.35242857142857137
4,1.763,19/05/2003,2003-05-19,0.0,0,0.446,0.441,0.384,0.359,0.36,0.4,0.4,0.3985714285714285
5,3.474,20/05/2003,2003-05-20,0.0,0,0.442,0.435,0.382,0.356,0.356,0.396,0.396,0.39471428571428563
6,2.224,21/05/2003,2003-05-21,0.0,0,0.405,0.432,0.381,0.356,0.356,0.396,0.396,0.3888571428571428
7,2.097,22/05/2003,2003-05-22,0.0,0,0.396,0.43,0.381,0.356,0.356,0.396,0.396,0.3872857142857143
8,1.984,23/05/2003,2003-05-23,0.0,60,0.363,0.428,0.38,0.356,0.356,0.396,0.396,0.38214285714285706
9,1.251,24/05/2003,2003-05-24,0.01,60,0.369,0.426,0.38,0.355,0.356,0.396,0.396,0.3825714285714285
10,1.872,25/05/2003,2003-05-25,0.01,60,0.339,0.423,0.38,0.355,0.356,0.396,0.396,0.3778571428571428
11,1.729,26/05/2003,2003-05-26,0.01,60,0.312,0.421,0.379,0.355,0.356,0.396,0.396,0.37357142857142855
12,1.604,27/05/2003,2003-05-27,0.02,60,0.288,0.418,0.379,0.355,0.356,0.396,0.396,0.36971428571428566
13,1.801,28/05/2003,2003-05-28,0.02,60,0.38,0.415,0.378,0.355,0.356,0.396,0.396,0.38228571428571423
14,2.25,29/05/2003,2003-05-29,0.03,60,0.438,0.426,0.378,0.355,0.356,0.396,0.396,0.39214285714285707
15,2.342,30/05/2003,2003-05-30,0.04,60,0.399,0.423,0.377,0.355,0.356,0.396,0.396,0.386
16,2.144,31/05/2003,2003-05-31,0.05,60,0.364,0.42,0.377,0.354,0.356,0.396,0.396,0.3804285714285714
17,2.269,01/06/2003,2003-06-01,0.07,60,0.429,0.418,0.376,0.354,0.356,0.396,0.396,0.38928571428571423
18,0.894,02/06/2003,2003-06-02,0.08,60,0.46,0.442,0.394,0.354,0.355,0.396,0.396,0.3995714285714285
19,2.72,03/06/2003,2003-06-03,0.08,60,0.455,0.436,0.393,0.352,0.353,0.393,0.393,0.39642857142857146
20,2.558,04/06/2003,2003-06-04,0.1,60,0.414,0.433,0.392,0.352,0.353,0.393,0.393,0.38999999999999996
21,3.73,05/06/2003,2003-06-05,0.11,63,0.468,0.438,0.42,0.349,0.35,0.389,0.39,0.4005714285714285
22,3.932,06/06/2003,2003-06-06,0.13,70,0.457,0.434,0.416,0.346,0.347,0.386,0.386,0.396
23,1.391,07/06/2003,2003-06-07,0.13,71,0.472,0.441,0.441,0.397,0.346,0.385,0.385,0.4095714285714286
24,3.975,08/06/2003,2003-06-08,0.14,74,0.46,0.434,0.434,0.399,0.343,0.381,0.382,0.4047142857142858
